user_id,username,location,age,gender,preferences
383,norinr476,,,,"pool with view, fairmont, sofa, qatar, free internet, separate living room, english, interconnected room(s) available, private balcony, breakfast available, coffee / tea maker, seating area, outdoor furniture, dining area, internet, doorperson, bath / shower, safe, concierge, outdoor dining area, history, desk, breakfast in the room"
384,Camper122928,,,,"pool with view, wifi, portuguese, fairmont, flatscreen tv, sofa, extra long beds, separate living room, english, grand hyatt regency, arabian gulf, doha, air conditioning, interconnected room(s) available, outdoor pool, private balcony, coffee / tea maker, breakfast available, seating area, 24-hour check-in, suites, pool, separate dining area, bar/lounge, internet, arabic, bath / shower, safe, concierge, outdoor dining area, filipino, walk-in shower, complimentary tea, hindi, desk, breakfast in the room"
385,347gbengas,,,,"concierge, butler service, executive lounge access, separate dining area, architecture, sun terrace, fairmont, bidet, complimentary tea, doha, interconnected room(s) available, qatar, private balcony, coffee / tea maker, seating area"
386,835ghassand,Saudi Arabia,,,"bathrobes, breakfast buffet, accessible rooms, foot bath, exclusive resort, qatar, english, exclusive island, adult pool, outdoor pool, doha, interconnected room(s) available, breakfast available, seating area, middle eastern charm, suites, dining area, pool, rooftop terrace, vip room facilities, breakfast included, internet, bath / shower, multilingual staff, urban retreat, safe, meeting rooms, private check-in / check-out, outdoor dining area, additional bathroom, four seasons hotel bahrain bay, indoor pool, luxury, heated pool, contemporary, mandarin oriental, breakfast in the room"
387,J88MBM,"Southend-on-Sea, Essex, England",,,"bathrobes, breakfast buffet, pool with view, wheelchair access, massage, foot bath, hair dryer, flatscreen tv, laundry service, wake up service / alarm clock, ironing service, qatar, couples massage, full body massage, kids' meals, english, rooftop pool, fitness classes, desk, outdoor pool, room service, interconnected room(s) available, doha, facial treatments, coffee / tea maker, breakfast available, coffee shop, seating area, middle eastern charm, pool view, rooftop bar, dining area, pool, butler service, valet parking, rooftop terrace, breakfast included, internet, bar/lounge, personal trainer, arabic, washing machine, wardrobe / closet, parking, bath / shower, multilingual staff, restaurant, meeting rooms, urban retreat, special diet menus, private check-in / check-out, free parking, yoga room, yoga classes, safe, blackout curtains, outdoor dining area, walk-in shower, free wifi, additional bathroom, luxury, heated pool, housekeeping, babysitting, bespoke service, mandarin oriental, breakfast in the room"
388,Krisanthgg,,,,"accessible rooms, pool with view, qatar, english, fitness classes, doha, outdoor pool, interconnected room(s) available, middle eastern charm, pool view, suites, fitness center, pool, sun deck, safe, concierge, luxury, radio, fitness / spa locker rooms, bespoke service"
389,MohaSalman,,,,"accessible rooms, sofa, qatar, spa, english, doha, interconnected room(s) available, facial treatments, seating area, middle eastern charm, butler service, internet, doorperson, multilingual staff, safe, urban retreat, private check-in / check-out, concierge, luxury, radio, contemporary, bespoke service, desk"
390,Ritajiaia1,,,,"non-smoking rooms, breakfast buffet, accessible rooms, express check-in / check-out, pool with view, wheelchair access, wifi, flatscreen tv, sofa, qatar, couples massage, free internet, spa, english, allergy-free room, bridal suite, rooftop pool, fitness classes, desk, family rooms, doha, room service, interconnected room(s) available, coffee / tea maker, breakfast available, seating area, 24-hour check-in, middle eastern charm, pool view, suites, fitness center, dining area, butler service, rooftop terrace, breakfast included, paid wifi, bar/lounge, internet, doorperson, sun deck, bath / shower, multilingual staff, restaurant, safe, urban retreat, free parking, concierge, outdoor dining area, walk-in shower, free wifi, additional bathroom, luxury, fitness / spa locker rooms, housekeeping, heated pool, bespoke service, mandarin oriental, breakfast in the room"
391,588myronh,,,,"accessible rooms, pool with view, shared lounge / tv area, wifi, sofa, qatar, 5-star hotel, separate living room, rixos, english, azure waters, executive lounge access, doha, outdoor pool, interconnected room(s) available, private balcony, breakfast available, seating area, pool view, pool, separate dining area, vip room facilities, internet, private bathrooms, bath / shower, multilingual staff, evening entertainment, private check-in / check-out, rixos gulf hotel doha, outdoor dining area, walk-in shower, additional bathroom, all-inclusive lifestyle concept"
392,Resort67859864590,"London, England",,,"rixos, private beaches, english, azure waters, pool with view, luxury beach resort, all-inclusive lifestyle concept, outdoor pool, rixos all-inclusive concept, interconnected room(s) available"
393,mandlreidy,,,,"suites, dining area, bidet, all-inclusive lifestyle concept, interconnected room(s) available, 5-star hotel"
394,arR5395TB,,,,"interconnected room(s) available, fitness / spa locker rooms"
395,477ikrame,,,,"rixos, kid's activities, accessible rooms, luxury beach resort, all-inclusive lifestyle concept, rixos all-inclusive concept, interconnected room(s) available"
396,299katianaf,,,,"concierge, pool view, suites, english, dining area, outdoor dining area, separate dining area, pool with view, bar/lounge, adult pool, kitchenette, sofa, restaurant, private balcony"
397,951fatemab,,,,"kids club, non-smoking rooms, express check-in / check-out, pool / beach towels, banquet room, pool with view, private pools, wheelchair access, wifi, steam room, sauna, kitchenette, free public parking nearby, sofa, sun umbrellas, spa, separate living room, private beaches, english, sun loungers / beach chairs, entertainment staff, free private parking nearby, executive lounge access, adult pool, family rooms, suites and beachfront villas with private pools and gardens., outdoor pool, beachfront, room service, private balcony, breakfast available, coffee / tea maker, waterslide, kids stay free, pool view, suites, dining area, kids activities, pool, separate dining area, secured parking, vip room facilities, internet, bar/lounge, desert falls water and adventure park, doorperson, parking, bath / shower, private bathrooms, safe, meeting rooms, private check-in / check-out, concierge, paid internet, outdoor dining area, massage chair, filipino, walk-in shower, additional bathroom, sun terrace, bidet, beach access, complimentary tea, minibar, desk, poolside bar, breakfast in the room"
398,GoPlaces468540,,,,"non-smoking rooms, kids club, pool with view, private pools, wheelchair access, steam room, flatscreen tv, sofa, bottled water, sun umbrellas, separate living room, private beaches, kids' meals, english, sun loungers / beach chairs, entertainment staff, executive lounge access, family rooms, suites and beachfront villas with private pools and gardens., outdoor pool, beachfront, private balcony, coffee / tea maker, kids stay free, pool view, suites, boating, kids activities, pool, separate dining area, vip room facilities, bar/lounge, bath / shower, private check-in / check-out, concierge, blackout curtains, outdoor dining area, massage chair, walk-in shower, additional bathroom, sun terrace, bidet, beach access, complimentary tea, desk, poolside bar"
399,cathlim13,,,,"concierge, pool view, english, non-smoking rooms, dining area, outdoor dining area, executive lounge access, separate dining area, filipino, additional bathroom, adult pool, suites and beachfront villas with private pools and gardens., outdoor pool, safe, private balcony, breakfast available, private check-in / check-out, separate living room"
400,AA-Q108,"London, England",,,"private beaches, pool view, english, separate dining area, additional bathroom, water park, 24-hour front desk, suites and beachfront villas with private pools and gardens., safe, private balcony, waterslide, private check-in / check-out"
401,margauxdee,"Sydney, New South Wales",,,"family-friendly environment, english, amenities, rooftop terrace, hiking, private balcony"
402,LeGrandVoyage2011,"London, England",,,"family-friendly environment, non-smoking rooms, atlas prestige restaurant, free internet, internet access, english, family rooms, private balcony, breakfast available, imlil, outdoor furniture, amenities, rooftop terrace, hiking, breakfast included, internet, douar samra, restaurant, sun terrace, french, board games / puzzles, free breakfast, riad imlil restaurant, mediterranean"
403,Roam36141245599,,,,"family-friendly environment, non-smoking rooms, amenities, rooftop terrace, breakfast included, sun terrace, douar samra, riad imlil restaurant, restaurant, atlas prestige restaurant, breakfast available"
404,V7823SCmargaretm,"Chadds Ford, Pennsylvania",,,"internet access, rooftop terrace, internet, amenities"
405,joanfB930SZ,,,,"imlil, family-friendly environment, english, amenities, rooftop terrace, french, douar samra, restaurant, private balcony"
406,Y5240ADlisas,,,,"pool, bar/lounge, beach access, beachfront, restaurant, evening entertainment"
407,marijak720,,,,"safe, outdoor pool, pool"
408,32abdallai,"Cairo, Cairo Governorate",,,"beachfront, outdoor pool, pool"
409,Sedoooo0o0,,,,"pool, beachfront, beach access, room service, outdoor pool"
410,Katyoshk9,,,,"beach access, beachfront, room service, spa"
411,Sightsee58476038539,,,,"concierge, non-smoking rooms, entertainment staff, serenity, restobar, sterling local, aravalli, private balcony, doorperson, aravalli range, restaurant, safe, relaxation, seating area"
412,K8302OTyogeshs,,,,"concierge, english, non-smoking rooms, aravali, sterling local, aravalli, room service, aravalli range, safe, private balcony, relaxation"
413,Odyssey43544014883,,,,"serenity, ·sterling mount abu, restaurant, safe, relaxation"
414,Compass67349047651,,,,"serenity, ·sterling mount abu, sterling local, restaurant, relaxation"
415,Sightsee47055149309,,,,"concierge, entertainment staff, private balconies, ·sterling mount abu, sterling local, rajasthani, aravalli, aravalli range, private balcony, evening entertainment"
416,LisaSorokinismyname,,,,"concierge, fitness center, souq al wakra, business center, meeting rooms, family rooms, beachfront, restaurant, qatar, multilingual staff, breakfast available"
417,tfatima2024,Doha,,,"non-smoking hotel, tivoli spa, tivoli, bar/lounge, family rooms, beach access, beachfront, restaurant, spa"
418,mosesn545,,,,"tivoli, souq al wakra, restaurant, safe, multilingual staff"
419,NorthStar32814390143,,,,"non-smoking rooms, souq al wakra, tivoli, al wakrah beach, internet, beach access, doorperson, restaurant, qatar"
420,rodgersd610,"London, England",,,"concierge, beachfront, family rooms, doorperson, air conditioning, multilingual staff, safe, breakfast available"
421,912luluya,,,,"hamad port, time rako, rako, luxury, al wakra, restaurant, multilingual staff"
422,mdh691,,,,"non-smoking rooms, breakfast buffet, banquet room, family, hot tub, relaxation, spa, family rooms, doha, time hotels and resorts, breakfast available, hyatt regency, suites, pool, non-smoking hotel, business center, bar/lounge, internet, restaurant, multilingual staff, safe, concierge, hamad port, time rako, rako, rako hotel, luxury, minibar"
423,mesferq2024,,,,"suites, rako, rako hotel, luxury, family, arabic, hta, doha, multilingual staff, safe, relaxation"
424,mohammadaW9840TD,,,,"time rako, rako, time hotels and resorts, safe, rako hotel, internet, wifi, luxury, family, hta, room service, multilingual staff, qatar, al wakra, relaxation"
425,35yoyoy,,,,"qatar, concierge, suites, non-smoking rooms, time rako, non-smoking hotel, rako, safe, rako hotel, luxury, multilingual staff, time hotels and resorts"
426,sarolina,,,,"suites, english, international, location, hta, sofa, travel, interconnected room(s) available, indonesian, hotel, desk"
427,545khadijan,,,,"suites, english, international, interconnected room(s) available, location, business, family, hta, room service, travel, bath / shower, hotel, lifestyle, private bathrooms, seating area"
428,najibas2024,,,,"international, interconnected room(s) available, location, business, meeting rooms, family, desk, travel, bath / shower, hotel, lifestyle, private bathrooms, seating area"
429,shaakira999,"Johannesburg, Greater Johannesburg, Gauteng",,,"english, lifestyle, smoking rooms available, location, business, housekeeping, travel, interconnected room(s) available, hotel, breakfast available, refrigerator in room"
430,soudy74,"Oshawa, Ontario",,,"accessible rooms, location, travel, interconnected room(s) available, safe"
431,Asimshadab,"Muscat, Muscat Governorate",,,"breakfast buffet, the town, bottled water, free internet, a variety of watersports, sun loungers / beach chairs, entertainment staff, complimentary toiletries, indonesian, suites, 2 distinct wings, internet, complimentary instant coffee, restaurant, filipino, walk-in shower, free wifi, heated pool, poolside bar, tennis court, wifi, flatscreen tv, sun umbrellas, shoeshine, family rooms, interconnected room(s) available, the oasis, pool, breakfast included, lazy river, safe, electric kettle, kid-friendly buffet, bidet, steam room, accessible rooms, hair dryer, al waha, hot tub, couples massage, english, thai, outdoor pool, telephone, private balcony, highchairs available, butler service, kids activities, bar/lounge, doorperson, private bathrooms, kids' outdoor play equipment, outdoor dining area, housekeeping, chinese, express check-in / check-out, kids club, pool / beach towels, italian, children's television networks, wheelchair access, wake up service / alarm clock, 24-hour front desk, a wide array of amenities makes for an unforgettable stay, air conditioning, breakfast available, indoor play area for children, vip room facilities, wardrobe / closet, bath / shower, multilingual staff, evening entertainment, concierge, iron, french, complimentary tea, table tennis, desk"
432,PrashantSwiss,Geneva,,,"breakfast buffet, flatscreen tv, kids pool, al waha, a variety of watersports, watersports, kids' meals, english, sun loungers / beach chairs, outdoor pool, a lazy river attraction, interconnected room(s) available, private balcony, breakfast available, 2 distinct wings, pool, butler service, kids activities, breakfast included, vip room facilities, lazy river, bath / shower, restaurant, multilingual staff, meeting rooms, outdoor dining area, heated pool, housekeeping, 460 rooms and suites"
433,richardrS1823EI,"Tirana, Tirana County",,,"non-smoking rooms, accessible rooms, express check-in / check-out, pool / beach towels, banquet room, the town, italian, wheelchair access, massage, wifi, flatscreen tv, al waha, kids pool, laundry service, bottled water, ironing service, couples massage, free internet, a variety of watersports, spa, watersports, cable / satellite tv, english, sun loungers / beach chairs, entertainment staff, family rooms, outdoor pool, air conditioning, interconnected room(s) available, room service, private balcony, breakfast available, indoor play area for children, conference facilities, 2 distinct wings, pool, kids activities, butler service, bar/lounge, internet, arabic, complimentary instant coffee, kids' outdoor play equipment, private bathrooms, bath / shower, restaurant, multilingual staff, meeting rooms, wardrobe / closet, evening entertainment, parking, kid-friendly buffet, iron, outdoor dining area, filipino, free wifi, french, heated pool, housekeeping, babysitting, minibar, 460 rooms and suites, desk, poolside bar"
434,grancanfan1,,,,"accessible rooms, pool / beach towels, al waha, couples massage, spa, english, a wide array of amenities makes for an unforgettable stay, outdoor pool, interconnected room(s) available, private balcony, 2 distinct wings, vip room facilities, private bathrooms, bath / shower, multilingual staff, concierge, outdoor dining area, a secluded spa and diverse dining options, desk"
435,Munaalfarsioo7,"Ibra, Ash-Sharqiyah Governorate",,,"sama hotel jabal al akhdar, concierge, suites, pool with view, vip room facilities, wifi, french, flatscreen tv, family rooms, a wide array of amenities makes for an unforgettable stay, interconnected room(s) available, restaurant, multilingual staff, breakfast available, a variety of watersports"
436,faht200000,,,,"along with the resort's various recreational activities, kid-friendly buffet, kids club, teens club, entertainment staff, kids activities, family, rixos bab al bahr, rixy kids club, multilingual staff, high energy, fun, indoor play area for children"
437,313mirat,,,,"along with the resort's various recreational activities, kids club, kids activities, family, rixos bab al bahr, rixy kids club, arabic, restaurant, safe, multilingual staff, high energy, fun, indoor play area for children"
438,21CazK,,,,"top and polite, drinks, polite, food, wajid khan, refil, exclusive sports club, restraunt meat point, ms kritisha and mr daniel for their excellent service with a smile and a geniune desire to serve., coffee and cocktails, service, quality, steaks, sirsspecial thanks to  you guys mr sana"
439,FA_975,"Dubai, Emirate of Dubai",,,"kids club, accessible rooms, non-smoking rooms, pool / beach towels, wifi, flatscreen tv, family, kids pool, sun umbrellas, relaxation, free internet, private beaches, teens club, english, entertainment staff, adult pool, family rooms, temperature controlled pools, outdoor pool, beachfront, private balcony, waterslide, public wifi, indoor play area for children, along with the resort's various recreational activities, high energy, pool view, suites, avitane, djs, kids activities, pool, infinity pool, vip room facilities, internet, arabic, doorperson, multilingual staff, restaurant, safe, meeting rooms, evening entertainment, fun, concierge, temperature-controlled pools, kid-friendly buffet, additional bathroom, rixy kids club, beach access, hammam, desk"
440,Sunshine73222,,,,"along with the resort's various recreational activities, private beaches, pool view, suites, concierge, accessible rooms, family rooms, family, relaxation, private balcony, breakfast available, fun"
441,alshaimas,"Suez, Suez Governorate",,,"satisfaction, concierge, family-friendly setting, convenience, breakfast buffet, gratifying, accessible rooms, suites, guests, safe, comfort, bath / shower, comfort and satisfaction, ironing service, hotel, coffee / tea maker"
442,Adventure19436891732,,,,"satisfaction, currency exchange, non-smoking rooms, breakfast buffet, accessible rooms, medina, express check-in / check-out, refrigerator, guests, wheelchair access, wifi, flatscreen tv, al haram, laundry service, al rawdha restaurant, gratifying, ironing service, free internet, refrigerator in room, tv, english, exploring, family rooms, room service, air conditioning, comfort and satisfaction, al-masjid an-nabawi, on-site restaurant, hotel, coffee / tea maker, coffee shop, public wifi, suites, convenience, arts and culture, internet, arabic, comfort, jannatul baqi, bath / shower, al haram hotel, restaurant, safe, meeting rooms, concierge, family-friendly setting, culture, free wifi, history, minibar, art"
443,SameerC148,,,,"suites, english, culture, medina, business center, guests, exploring, jannatul baqi, bath / shower, al-masjid an-nabawi, hotel"
444,FamiljenBerglund,,,,"satisfaction, non-smoking rooms, accessible rooms, medina, guests, gratifying, exploring, family rooms, comfort and satisfaction, al-masjid an-nabawi, hotel, coffee shop, coffee / tea maker, suites, convenience, non-smoking hotel, comfort, jannatul baqi, al haram hotel, safe, concierge, family-friendly setting, culture, shops"
445,sahedap2022,,,,"satisfaction, non-smoking rooms, breakfast buffet, accessible rooms, guests, gratifying, family rooms, exploring, comfort and satisfaction, al-masjid an-nabawi, hotel, coffee / tea maker, suites, convenience, internet, comfort, jannatul baqi, bath / shower, safe, concierge, family-friendly setting, culture"
446,sosoa486,,,,"breakfast buffet, dining area, breakfast included, housekeeping, interconnected room(s) available, restaurant, multilingual staff, breakfast available, luxury hotel"
447,786humaj,,,,"madinah, dining area, non-smoking hotel, breakfast buffet, landmark view, mecca, bidet, interconnected room(s) available, restaurant, multilingual staff, breakfast available, umrah, breakfast in the room"
448,Mobile18456538836,,,,"non-smoking rooms, breakfast buffet, mecca, sofa, separate living room, dar al taqwa hotel madinah, executive lounge access, family rooms, interconnected room(s) available, breakfast available, seating area, suites, separate dining area, breakfast included, arabic, restaurant, multilingual staff, concierge, madinah, walk-in shower, bidet, desk, breakfast in the room"
449,aymanaC5161DT,,,,"breakfast buffet, mecca, flatscreen tv, sofa, luxury hotel, umrah, dar al taqwa hotel madinah, executive lounge access, interconnected room(s) available, coffee / tea maker, breakfast available, seating area, suites, dining area, separate dining area, landmark view, breakfast included, bath / shower, multilingual staff, safe, madinah, walk-in shower, breakfast in the room"
450,F7036FLabdulh,,,,"suites, madinah, dining area, separate dining area, mecca, room service, umrah, interconnected room(s) available, restaurant, sofa, safe, multilingual staff, luxury hotel"
451,mrsyobi,,,,"non-smoking rooms, accessible rooms, pool with view, steam room, shangri-la al husn strives to provide an atmosphere of the utmost tranquillity, private beaches, english, sun loungers / beach chairs, bridal suite, adult pool, muscat, outdoor pool, shangri-la barr al jissah, interconnected room(s) available, private balcony, coffee / tea maker, seating area, suites, infinity pool, pool, bath / shower, gulf of oman, shangri-la al husn, outdoor dining area, french, bidet, radio, complimentary tea, poolside bar"
452,skp9000,,,,"sauna, aerobics, laundry service, bottled water, free internet, spa, sun loungers / beach chairs, allergy-free room, diving, beach, complimentary toiletries, coffee / tea maker, conference facilities, suites, salon, internet, complimentary instant coffee, gulf of oman, blackout curtains, filipino, walk-in shower, free wifi, 24-hour security, poolside bar, bathrobes, banquet room, laptop safe, wifi, flatscreen tv, shangri-la al husn strives to provide an atmosphere of the utmost tranquillity, sun umbrellas, shoeshine, adult pool, muscat, shangri-la barr al jissah, interconnected room(s) available, pool, lazy river, safe, meeting rooms, electric kettle, on-demand movies, bidet, steam room, breakfast in the room, non-smoking rooms, accessible rooms, pool with view, hair dryer, hot tub, couples massage, private beaches, english, bridal suite, aperitif hour, outdoor pool, telephone, private balcony, seating area, infinity pool, butler service, private bathrooms, shangri-la al husn, outdoor dining area, radio, mountain view, express check-in / check-out, pool / beach towels, italian, canoeing, ironing service, 24-hour front desk, soundproof rooms, head massage, fitness center, hideaway, non-smoking hotel, business center, vip room facilities, wardrobe / closet, bath / shower, multilingual staff, evening entertainment, concierge, iron, foot massage, french, fitness / spa locker rooms, complimentary tea, minibar"
453,230clares,"East Anglia, England",,,"bathrobes, non-smoking rooms, accessible rooms, breakfast buffet, express check-in / check-out, pool / beach towels, pool with view, massage, flatscreen tv, laundry service, shangri-la al husn strives to provide an atmosphere of the utmost tranquillity, ironing service, couples massage, free internet, private beaches, english, sun loungers / beach chairs, beach, complimentary toiletries, adult pool, 24-hour front desk, bridal suite, aperitif hour, room service, outdoor pool, interconnected room(s) available, coffee / tea maker, private balcony, seating area, soundproof rooms, suites, pool, infinity pool, butler service, vip room facilities, arabic, complimentary instant coffee, private bathrooms, bath / shower, restaurant, multilingual staff, gulf of oman, free parking, concierge, shangri-la al husn, outdoor dining area, walk-in shower, free wifi, taxi service, on-demand movies, housekeeping, complimentary tea, snorkeling, poolside bar, breakfast in the room"
454,Khsou,,,,"restaurant, express check-in / check-out, accessible rooms, outdoor dining area, gulf of oman, internet, muscat, interconnected room(s) available, multilingual staff, free internet, shangri-la al husn strives to provide an atmosphere of the utmost tranquillity, spa, seating area"
455,sukirankhurmy,"London, England",,,"pool with view, shangri-la al husn strives to provide an atmosphere of the utmost tranquillity, private beaches, english, sun loungers / beach chairs, beach, bridal suite, adult pool, aperitif hour, outdoor pool, interconnected room(s) available, facial treatments, private balcony, seating area, free shuttle or taxi services, infinity pool, pool, butler service, hideaway, vip room facilities, restaurant, evening entertainment, concierge, shangri-la al husn, outdoor dining area, free wifi, housekeeping, complimentary tea, minibar, poolside bar"
456,843heikev,,,,"tio sea resort, oasis by the shores, beach access, seafront haven is the perfect destination for your dream vacation, beachfront, seafront haven"
457,K3843TCsarah,,,,"sandy beaches, tio sea resort, pool, oasis by the shores, beach access, seafront haven is the perfect destination for your dream vacation, seafront haven, spa"
458,katherinehP5631HG,,,,"tio sea resort, pool, oasis by the shores, seafront haven is the perfect destination for your dream vacation, beachfront, restaurant, seafront haven, spa"
459,trevormO1188NZ,,,,"sandy beaches, tio sea resort, pool, oasis by the shores, beach access, seafront haven is the perfect destination for your dream vacation, beachfront, restaurant, seafront haven"
460,moazamd2021,Qatar,,,"sandy beaches, oasis by the shores, beach access, seafront haven is the perfect destination for your dream vacation, beachfront, seafront haven"
461,Zuhaina_z,,,,"cameron highland, greenhill resort"
462,teacherm0m,"Washington DC, District of Columbia",,,"aster, view from the balcony, however wifi better than expected (w/ extra fee), 3) building needs a reboot, electrical system, furniture and decorations are faded/sagging and electrical system can’t handle modern capacity, wifi, helpful and apologetic, rci aster building, ants, 2) nice staff"
463,monhwan,Luzon,,,"gas stove, zig zags, timehares, rice cooker, utensils, housekeeping, cameron highlands, 3 bedroom unit we exchanged from rci is good enough., ground floor, bedding, narrow roads, microwave oven, wok pan"
464,202fredier,,,,"apartment, high hill, quality of life, hot water for shower available, hot water for hot water, low cost, gas cooking, kitchenette, microwave, shower temperature"
465,LRMcK,"Cairns, Cairns Region, Queensland",,,"kitchenette, free internet, wifi, free parking"
466,jeanettecH3244ZO,,,,"sofa bed, suites, non-smoking rooms, accessible rooms, executive lounge access, vip room facilities, wide range of services, hilton riyadh hotel & residences provides experiences for business & leisure guests alike., family rooms, maintenance, laundry service, room service, housekeeping, interconnected room(s) available, our hotel offers stylish guest rooms, safe, separate living room"
467,Odyssey16170284882,,,,"accessible rooms, male pool, sofa, hot tub, separate living room, 24-hour front desk, hilton riyadh hotel & residences provides experiences for business & leisure guests alike., family rooms, room service, interconnected room(s) available, our hotel offers stylish guest rooms, seating area, soundproof rooms, suites, salon, vip room facilities, sofa bed, multilingual staff, safe, electric kettle, concierge, oven, la, wide range of services, bidet, spacious multi-purpose meetings facilities, desk, steam room"
468,Coastal58223660532,,,,"accessible rooms, shared lounge / tv area, sauna, sofa, english, executive lounge access, hilton riyadh hotel & residences provides experiences for business & leisure guests alike., interconnected room(s) available, our hotel offers stylish guest rooms, seating area, world-class dining options, suites, separate dining area, bar/lounge, bath / shower, multilingual staff, safe, concierge, outdoor dining area, additional bathroom, wide range of services, bidet"
469,TheInsomniacdiaries,,,,"accessible rooms, wide range of services, hilton riyadh hotel & residences provides experiences for business & leisure guests alike., interconnected room(s) available, multilingual staff, our hotel offers stylish guest rooms"
470,M8970XHmarkp,County Donegal,,,"kids club, accessible rooms, shared lounge / tv area, wifi, car hire, sauna, flatscreen tv, sofa, bottled water, refrigerator in room, kids' meals, executive lounge access, hilton riyadh hotel & residences provides experiences for business & leisure guests alike., family rooms, interconnected room(s) available, our hotel offers stylish guest rooms, telephone, coffee / tea maker, seating area, kids stay free, conference facilities, world-class dining options, dining area, kids activities, pool, separate dining area, secured parking, vip room facilities, internet, bar/lounge, arabic, bath / shower, multilingual staff, safe, electric kettle, concierge, outdoor dining area, taxi service, la, wide range of services, spacious multi-purpose meetings facilities, heated pool, babysitting, desk, steam room"
471,Omkumar_Shah,"Mumbai, Maharashtra",,,"non-smoking rooms, fitness center, seating area, outdoor dining area, executive lounge access, separate dining area, smoking rooms available, safe, sauna, fitness / spa locker rooms, room service, interconnected room(s) available, restaurant, special diet menus, multilingual staff, private check-in / check-out, separate living room"
472,R6926QHrobv,,,,"sauna, umbrella, flatscreen tv, sofa, bottled water, hot tub, separate living room, english, executive lounge access, interconnected room(s) available, coffee / tea maker, seating area, 24-hour check-in, suites, fitness center, pool, separate dining area, business center, landmark view, internet, bath / shower, multilingual staff, safe, electric kettle, private check-in / check-out, concierge, walk-in shower, bidet, fitness / spa locker rooms, heated pool, hammam, desk, steam room"
473,Andie75,"Tamworth, Staffordshire, England",,,"concierge, paid internet, suites, non-smoking rooms, breakfast buffet, separate dining area, breakfast included, internet, sofa, doorperson, interconnected room(s) available, restaurant, multilingual staff, breakfast available, breakfast in the room"
474,D8674PSrobp,"Oviedo, Florida",,,"non-smoking rooms, executive lounge access, french, umbrella, bidet, interconnected room(s) available, restaurant, steam room, seating area"
475,travellinghorn,"Tetbury, Cotswolds, England",,,"express check-in / check-out, non-smoking rooms, sofa, spa, separate living room, executive lounge access, interconnected room(s) available, coffee / tea maker, seating area, conference facilities, pool, separate dining area, vip room facilities, bar/lounge, internet, bath / shower, safe, private check-in / check-out, concierge, outdoor dining area, walk-in shower, indoor pool, desk"
476,aradzp,,,,"english, breakfast buffet, accessible rooms, leisure, interconnected room(s) available, modern, business, professional, safe, breakfast available, breakfast in the room"
477,rsprenger,"Dubai, Emirate of Dubai",,,"breakfast buffet, accessible rooms, business, riyadh, hyatt regency riyadh olaya, executive lounge access, fitness classes, modern, interconnected room(s) available, breakfast available, conference facilities, suites, fitness center, business center, safe, bidet, fitness / spa locker rooms, professional, breakfast in the room"
478,eyasw2023,,,,"accessible rooms, wifi, flatscreen tv, hyatt regency riyadh olaya, english, executive lounge access, leisure, modern, family rooms, interconnected room(s) available, breakfast available, public wifi, suites, non-smoking hotel, vip room facilities, internet, bath / shower, multilingual staff, safe, electric kettle, concierge, iron, walk-in shower, indoor pool, bidet, professional"
479,Ahmed02018,"Dubai, Emirate of Dubai",,,"hyatt regency riyadh olaya, english, interconnected room(s) available, professional, restaurant, multilingual staff, riyadh, spa"
480,johnmrollings,,,,"concierge, suites, hyatt regency riyadh olaya, accessible rooms, interconnected room(s) available, 24-hour front desk, modern, bidet, hammam, professional, safe"
481,928ahsank,,,,"attentive service, salon, the ritz-carlton, private balcony, riyadh"
482,P1391QDaa,,,,"landscaped gardens, non-smoking rooms, attentive service, accessible rooms, banquet room, wheelchair access, flatscreen tv, riyadh, spa, english, oasis, shoeshine, bridal suite, private balcony, breakfast available, suites, pool, salon, non-smoking hotel, vip room facilities, internet, the ritz-carlton, bath / shower, safe, concierge, resort, smoking rooms available, indoor pool, heated pool, housekeeping, steam room"
483,Resort48558798538,,,,"conference facilities, suites, english, accessible rooms, pool, resort, business center, smoking rooms available, vip room facilities, minibar, sauna, arabic, private balcony, doorperson, restaurant, riyadh, spa"
484,Maps29892841535,Kuwait,,,"resort, private balcony, attentive service, oasis"
485,MazzFoodie,,,,"suites, pool, resort, the ritz-carlton, private balcony, steam room"
486,443kuanc,,,,"non-smoking rooms, express check-in / check-out, wheelchair access, sofa, bottled water, microwave, riyadh, luxury hotel, separate living room, cable / satellite tv, english, facilities for disabled guests, air purifier, interconnected room(s) available, telephone, a flat screen television, coffee shop, coffee / tea maker, private balcony, breakfast available, seating area, 24-hour check-in, a tea and coffee set, dining area, secured parking, vip room facilities, breakfast included, private bathrooms, bath / shower, multilingual staff, safe, electric kettle, concierge, photo copier / fax in business center, additional bathroom, light-filled spaces, air conditioning, luxury, breakfast in the room"
487,_mers78,,,,"concierge, suites, dining area, resting rooms, business center, vip room facilities, additional bathroom, bedrooms, light-filled spaces, family rooms, luxury, sofa, interconnected room(s) available, private balcony, desk, luxury hotel"
